Estados Nordestinos;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Alagoas;0.836;0.989;1.041;1.034;1.211;1.617;1.839;1.887;1.872;2.086;2.268
Bahia;1.579;1.735;2.155;2.255;2.823;3.278;3.614;4.765;5.383;5.763;5.451
Ceará;1.298;1.443;1.560;1.576;1.692;1.793;1.936;2.031;2.168;2.692;2.788
Maranhão;0.536;0.576;0.762;0.696;0.903;0.925;1.092;1.243;1.387;1.493;1.573
Paraíba;0.490;0.608;0.620;0.659;0.740;0.819;0.861;1.021;1.269;1.457;1.619
Pernambuco;4.697;4.431;4.512;4.173;4.307;4.478;4.560;4.431;3.954;3.445;3.464
Piauí;0.279;0.315;0.316;0.347;0.386;0.437;0.406;0.387;0.398;0.430;0.461
Rio Grande do Norte;0.316;0.301;0.409;0.342;0.408;0.450;0.594;0.720;0.791;0.815;1.042
Sergipe;0.532;0.549;0.473;0.464;0.492;0.597;0.526;0.574;0.663;0.690;0.739
