Estados Nordestinos;Homens;Mulheres
Alagoas;7;8
Bahia;114;21
Ceará;83;15
Maranhão;49;8
Paraíba;32;10
Pernambuco;45;14
Piauí;5;2
Rio Grande do Norte;12;5
Sergipe;27;4
