Estados Nordestinos;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Alagoas;16;18;23;24;25;38;35;28;32;47;41
Bahia;21;43;46;52;53;71;76;107;103;148;135
Ceará;31;44;30;41;36;38;35;24;41;44;55
Maranhão;18;8;17;18;23;22;23;22;21;27;26
Paraíba;19;16;8;14;14;19;21;17;32;25;37
Pernambuco;91;74;97;96;89;83;90;93;101;91;78
Piauí;11;7;17;11;11;11;8;9;8;8;6
Rio Grande do Norte;10;6;12;5;14;11;14;19;13;18;23
