Estados Nordestinos;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Alagoas;126;140;89;68;93;91;106;60;42;52;79
Bahia;156;167;177;177;189;204;271;349;337;382;417
Ceará;262;222;269;260;273;260;259;246;264;400;396
Maranhão;91;94;115;85;121;122;142;144;158;142;197
Paraíba;62;62;49;45;51;51;37;48;51;49;81
Pernambuco;602;569;594;468;476;397;283;431;375;263;233
Piauí;44;45;38;48;56;50;65;54;56;61;62
Rio Grande do Norte;67;69;104;70;86;93;108;110;136;123;166
Sergipe;128;80;85;71;85;102;93;90;91;63;55
