Estados Nordestinos;Homens;Mulheres
Alagoas;237;28
Bahia;747;120
Ceará;614;54
Maranhão;579;54
Paraíba;182;27
Pernambuco;626;94
Piauí;184;20
Rio Grande do Norte;183;24
Sergipe;167;21
