Estados Nordestinos;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Alagoas;0.708;0.848;0.952;0.964;1.115;1.523;1.733;1.822;1.820;2.030;2.184
Bahia;1.415;1.564;1.975;2.074;2.630;3.062;3.338;4.405;5.036;5.367;5.022
Ceará;1.026;1.204;1.289;1.314;1.413;1.529;1.675;1.780;1.903;2.291;2.388
Maranhão;0.439;0.477;0.643;0.608;0.765;0.784;0.937;1.089;1.226;1.342;1.368
Paraíba;0.427;0.545;0.569;0.610;0.688;0.766;0.822;0.972;1.217;1.405;1.535
Pernambuco;4.084;3.848;3.904;3.697;3.814;4.067;4.263;3.978;3.572;3.171;3.225
Piauí;0.233;0.268;0.276;0.293;0.329;0.384;0.341;0.333;0.339;0.368;0.398
Rio Grande do Norte;0.249;0.231;0.304;0.272;0.371;0.357;0.482;0.610;0.652;0.692;0.875
Sergipe;0.404;0.468;0.4;0.393;0.407;0.493;0.433;0.484;0.571;0.627;0.681
